areacode,mobile_lister,longt,config_type,immediate_possession,Details,txn_type,property_type,Status,city,lease_period,management_by_landlord,locality,platform,Selling_price,Building_name,updated_date,name_lister,Monthly_Rent,price_on_req,address,lat,google_place_id,listing_by,data_id,age,listing_date,carpet_area,sqft,sublocality
,,,None,Immediate/Ready to move,Office Space for sale in Mulund West,sale,commercial,Semi Furnished,mumbai,,, Mulund West,propertywala,"18,500,000",,,Ashok M. Gangwani,,,,,,Broker,P598214091,,2016-07-15,,1329 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Powai,sale,commercial,Unfurnished,mumbai,,, Powai,propertywala,"22,000,000",,,Pravin  Ladkat,,,,,,Broker,P66512456,,2016-07-06,,1440 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Link Road area,sale,commercial,Unfurnished,mumbai,,, Link Road area,propertywala,"85,000,000",,,Rajmohan  Agarwal,,,,,,Broker,P548410269,,2016-07-04,,5300 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Andheri East,sale,commercial,Unfurnished,mumbai,,, Andheri East,propertywala,"1,200,000",,,Kamlesh  chouhan,,,,,,Broker,P75142063,,2016-07-15,,12000 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"7,509,999",,,Rajmohan  Agarwal,,,,,,Broker,P92674049,,2016-07-05,,455 SqFeet,
,,,None,Immediate/Ready to move,Multipurpose Building for sale in Malad East,sale,commercial,Semi Furnished,mumbai,,, Malad East,propertywala,"12,500,000",,,,,,,,,Owner,P81297075,,2016-07-18,,1000 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Andheri West,sale,commercial,Unfurnished,mumbai,,, Andheri West,propertywala,"18,000,000",,,Property  Home,,,,,,Broker,P11265595,,2016-07-06,,1000 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Malad East,sale,commercial,,mumbai,,, Malad East,propertywala,"27,000,000",,,,,,,,,Owner,P81399135,,2016-07-15,,1650 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"22,500,000",,,Rajmohan  Agarwal,,,,,,Broker,P606102026,,2016-07-05,,1000 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Dahisar West,sale,commercial,,mumbai,,, Dahisar West,propertywala,"3,500,000",,,Vinay  ,,,,,,Broker,P81608565,,2016-07-11,,120 SqFeet,
,,,None,,Showroom for sale in Colaba,sale,commercial,,mumbai,,, Colaba,propertywala,"170,000,000",,,Salman Zafar khan,,,,,,Broker,P60864740,,2016-07-16,,3400 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"6,800,000",,,Rajmohan  Agarwal,,,,,,Broker,P75214432,,2016-07-03,,400 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Ballard Estate,rent,commercial,Furnished,mumbai,36 Months,, Ballard Estate,propertywala,,,,Rahul  Sharma,"200,000",,,,,Broker,P263645016,,2016-07-18,,1600 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"84,800,000",,,Rajmohan  Agarwal,,,,,,Broker,P761014303,,2016-07-05,,5300 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Kanjur Marg West,rent,commercial,Furnished,mumbai,36 Months,, Kanjur Marg West,propertywala,,,,,,,,,,Owner,P69534674,,2016-07-18,,1750 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Kandivali West,rent,commercial,Unfurnished,mumbai,60 Months,, Kandivali West,propertywala,,,,,,,,,,Owner,P94536653,,2016-07-18,,1950 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Andheri West,rent,commercial,Furnished,mumbai,10 Months,, Andheri West,propertywala,,,,Property  Home,"100,000",,,,,Broker,P92654051,,2016-07-06,,840 SqFeet,
,,,None,Immediate/Ready to move,Shop for rent in Andheri West,rent,commercial,Semi Furnished,mumbai,36 Months,, Andheri West,propertywala,,,,,"46,000",,,,,Owner,P94306253,,2016-07-16,,350 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Malad West,rent,commercial,Unfurnished,mumbai,,, Malad West,propertywala,,,,Rajmohan  Agarwal,"4,500,000",,,,,Broker,P437551201,,2016-07-07,,50000 SqFeet,
,,,None,Immediate/Ready to move,Shop for rent in Borivali West,rent,commercial,,mumbai,,, Borivali West,propertywala,,,,Yuvraj  Salian,"85,000",,,,,Broker,P83449965,,2016-07-19,,1240 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Link Road area,rent,commercial,,mumbai,,, Link Road area,propertywala,,,,Rajmohan  Agarwal,"440,000",,,,,Broker,P761172388,,2016-07-08,,6800 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Bandra East,sale,commercial,Furnished,mumbai,,, Bandra East,propertywala,"5,440,000",,,Dhruv  Bhanushali,,,,,,Broker,P75094543,,2016-06-25,,32000 SqFeet,
,,,None,Immediate/Ready to move,Commercial Plot / Land for sale in MIDC,sale,commercial,,mumbai,,, MIDC,propertywala,"10,000,000",,,,,,,,,Owner,P34936517,,2016-06-29,,10 Acres,
,,,None,Immediate/Ready to move,Office Space for sale in Link Road area,sale,commercial,Unfurnished,mumbai,,, Link Road area,propertywala,"7,735,000",,,Rajmohan  Agarwal,,,,,,Broker,P474901129,,2016-06-16,,594 SqFeet,
,,,None,Immediate/Ready to move,Showroom for sale in Andheri West,sale,commercial,Unfurnished,mumbai,,, Andheri West,propertywala,"350,000,000",,,Dhruv  Bhanushali,,,,,,Broker,P75168037,,2016-06-26,,8850 SqFeet,
,,,None,Immediate/Ready to move,Office Space for rent in Malad West,rent,commercial,Unfurnished,mumbai,,, Malad West,propertywala,,,,Rajmohan  Agarwal,"265,000",,,,,Broker,P781531063,,2016-07-07,,4085 SqFeet,
,,,None,,"Shop for sale in Ekta Lake Lucerne, Dahisar East",sale,commercial,,mumbai,,," Ekta Lake Lucerne, Dahisar East",propertywala,"2,000,000",Ekta Lake Lucerne,,,,,,,,Owner,P645100736,,2016-06-28,,450 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Malad West,sale,commercial,Unfurnished,mumbai,,, Malad West,propertywala,"29,500,000",,,Rajmohan  Agarwal,,,,,,Broker,P89544639,,2016-06-17,,820 SqFeet,
,,,None,Immediate/Ready to move,Shop for sale in Kalyan,sale,commercial,,mumbai,,, Kalyan,propertywala,"2,301,000",,,C.D.  Dighole,,,,,,Broker,P62515340,,2016-07-01,,,
,,,None,Immediate/Ready to move,Office Space for sale in Andheri East,sale,commercial,,mumbai,,, Andheri East,propertywala,"15,000,000",,,Kamlesh  chouhan,,,,,,Broker,P27634851,,2016-06-29,,1000 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Goregaon East,sale,commercial,Unfurnished,mumbai,,, Goregaon East,propertywala,"18,208,000",,,Sandeep  Didwania,,,,,,Broker,P919525601,,2016-06-20,,745 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Goregaon East,sale,commercial,,mumbai,,, Goregaon East,propertywala,"14,507,000",,,Sandeep  Didwania,,,,,,Broker,P771195256,,2016-06-20,,,
,,,None,Immediate/Ready to move,Office Space for sale in Goregaon East,sale,commercial,,mumbai,,, Goregaon East,propertywala,"12,300,000",,,Sandeep  Didwania,,,,,,Broker,P666119525,,2016-06-20,,,
,,,None,Immediate/Ready to move,Office Space for sale in Kasam Baug,sale,commercial,,mumbai,,, Kasam Baug,propertywala,"10,000,000",,,Sandeep  Didwania,,,,,,Broker,P679119791,,2016-06-21,,650 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Andheri West,sale,commercial,Furnished,mumbai,,, Andheri West,propertywala,"11,000,000",,,,,,,,,Owner,P55151160,,2016-07-02,,606 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Goregaon East,sale,commercial,Unfurnished,mumbai,,, Goregaon East,propertywala,"2,000,000",,,Sunil  Gautam,,,,,,Broker,P370454156,,2016-07-05,,400 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Aarey Milk colony,sale,commercial,Furnished,mumbai,,, Aarey Milk colony,propertywala,"1,951,000",,,,,,,,,Owner,P44985118,,2016-07-04,,409 SqFeet,
,,,None,Immediate/Ready to move,Industrial Building for sale in Kanch Pada,sale,commercial,Unfurnished,mumbai,,, Kanch Pada,propertywala,"10,000,000",,,,,,,,,Owner,P51051219,,2016-07-04,,550 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Ghatkopar West,sale,commercial,,mumbai,,, Ghatkopar West,propertywala,"9,400,000",,,,,,,,,Owner,P54448908,,2016-07-06,,490 SqFeet,
,,,None,Within 6 Months,Showroom for sale in Pali Naka,sale,commercial,,mumbai,,, Pali Naka,propertywala,"8,000,000",,,Aveline  Dsouza,,,,,,Broker,P46265071,,2016-06-23,,200 SqFeet,
,,,None,Within 3 Months,Agricultural Plot / Land for sale in Andheri East,sale,commercial,,mumbai,,, Andheri East,propertywala,"800,000",,,,,,,,,Owner,P48175123,,2016-07-06,,11000 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Worli,rent,residential,Furnished,mumbai,12 Months,, Worli,propertywala,,,,Rahul  Rao,"35,000",,,,,Broker,P31412513,,2016-07-11,,400 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for rent in Bandra East,rent,residential,Semi Furnished,mumbai,11 Months,, Bandra East,propertywala,,,,Property  Home,"180,000",,,,,Broker,P55751136,,2016-07-01,,1938 SqFeet,
,,,4bhk,Immediate/Ready to move,4 Bedroom Apartment / Flat for rent in Andheri West,rent,residential,Semi Furnished,mumbai,11 Months,, Andheri West,propertywala,,,,Property  Home,"75,000",,,,,Broker,P37371476,,2016-07-01,,1700 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in Virar West,rent,residential,,mumbai,,, Virar West,propertywala,,,,Deepak J Padekar,"7,000",,,,,Broker,P81416685,,2016-07-14,,645 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in Dahisar West,rent,residential,,mumbai,,, Dahisar West,propertywala,,,,Vinay  ,"26,500",,,,,Broker,P81240195,,2016-07-15,,,
,,,4bhk,Immediate/Ready to move,"4 Bedroom Flat for rent in Wadhwa Imperial Heights, Goregaon West",rent,residential,Semi Furnished,mumbai,11 Months,," Wadhwa Imperial Heights, Goregaon West",propertywala,,Wadhwa Imperial Heights,,Property  Home,"85,000",,,,,Broker,P74764792,,2016-07-01,,2090 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Independent House for rent in Kalina,rent,residential,,mumbai,,, Kalina,propertywala,,,,Chirag  Nishad,"15,000",,,,,Broker,P75143278,,2016-07-15,,300 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Paying Guest for rent in Peddar Road area,rent,residential,Furnished,mumbai,11 Months,, Peddar Road area,propertywala,,,,Ghanshyam Atmaram Fatnani,"15,000",,,,,Broker,P505710696,,2016-07-16,,200 SqFeet,
,,,3bhk,Immediate/Ready to move,"3 Bedroom Flat for rent in Raheja Vistas, Chandivali",rent,residential,Semi Furnished,mumbai,12 Months,," Raheja Vistas, Chandivali",propertywala,,Raheja Vistas,,Sanjay Shankar Arr,"65,000",,,,,Broker,P230192115,,2016-07-02,,1740 SqFeet,
,,,2bhk,Immediate/Ready to move,"2 Bedroom Flat for rent in Kalpataru Estate, Andheri East",rent,residential,Semi Furnished,mumbai,12 Months,," Kalpataru Estate, Andheri East",propertywala,,Kalpataru Estate,,Manpreet  Singh,"55,000",,,,,Broker,P204975015,,2016-07-12,,1254 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for rent in Jogeshwari East,rent,residential,Furnished,mumbai,11 Months,, Jogeshwari East,propertywala,,,,Property  Home,"78,000",,,,,Broker,P24696747,,2016-07-02,,1377 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for rent in Andheri West,rent,residential,Furnished,mumbai,11 Months,, Andheri West,propertywala,,,,Property  Home,"75,000",,,,,Broker,P99050648,,2016-07-02,,1760 SqFeet,
,,,,,Apartment / Flat for rent in Ghatkopar West,rent,residential,,mumbai,,, Ghatkopar West,propertywala,,,,,"15,001",,,,,Owner,P83422875,,2016-07-16,,310 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Independent House for rent in Thakur Village,rent,residential,Semi Furnished,mumbai,12 Months,, Thakur Village,propertywala,,,,,"36,000",,,,,Owner,P27044748,,2016-07-14,,1200 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in Chembur,rent,residential,,mumbai,,, Chembur,propertywala,,,,,"30,000",,,,,Owner,P11373685,,2016-07-15,,800 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Kalyan,rent,residential,Unfurnished,mumbai,11 Months,, Kalyan,propertywala,,,,,"9,000",,,,,Owner,P75343195,,2016-07-17,,600 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Paying Guest for rent in Andheri East,rent,residential,Furnished,mumbai,,, Andheri East,propertywala,,,,Vikas  Gupta,6001,,,,,Broker,P69457418,,2016-07-16,,679 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Paying Guest for rent in Andheri East,rent,residential,Furnished,mumbai,,, Andheri East,propertywala,,,,Sagar  R,"20,000",,,,,Broker,P83420175,,2016-07-16,,650 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Paying Guest for rent in Andheri East,rent,residential,Furnished,mumbai,,, Andheri East,propertywala,,,,Vishal  Gupta,6001,,,,,Broker,P66474629,,2016-07-18,,744 SqFeet,
,,,4bhk,Immediate/Ready to move,4 Bedroom Apartment / Flat for rent in Juhu,rent,residential,Semi Furnished,mumbai,11 Months,, Juhu,propertywala,,,,Property  Home,"150,000",,,,,Broker,P28895049,,2016-07-04,,3150 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Kalyan,rent,residential,,mumbai,,, Kalyan,propertywala,,,,,"7,500",,,,,Owner,P56353434,,2016-07-17,,700 SqFeet,
,,,,Immediate/Ready to move,Paying Guest for rent in Andheri East,rent,residential,Furnished,mumbai,,, Andheri East,propertywala,,,,Vishal  Gupta,6001,,,,,Broker,P39682433,,2016-07-15,,679 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Independent House for rent in Mulund West,rent,residential,,mumbai,,, Mulund West,propertywala,,,,,"13,000",,,,,Owner,P75342250,,2016-07-16,,650 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Paying Guest for rent in Church Gate,rent,residential,,mumbai,12 Months,, Church Gate,propertywala,,,,Manish  Agarwal,"30,000",,,,,Broker,P82136694,,2016-07-19,,500 SqFeet,
,,,None,Immediate/Ready to move,Office Space for sale in Masjid Bunder,sale,commercial,Semi Furnished,mumbai,,, Masjid Bunder,propertywala,"5,000,000",,,,,,,,,Owner,P69432749,,2016-07-05,,234 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Chembur East,sale,residential,,mumbai,,, Chembur East,propertywala,"22,000,000",,,Bhavik  Jain,,,,,,Broker,P57653448,,2016-07-18,,750 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Flat for sale in Lamington Road area,sale,residential,,mumbai,,, Lamington Road area,propertywala,"9,500",,,,,,,,,Owner,P55753431,,2016-07-17,,,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for sale in Andheri West,sale,residential,,mumbai,,, Andheri West,propertywala,"29,000,000",,,Mannish  chugh,,,,,,Broker,P75142990,,2016-07-15,,,
,,,3bhk,Immediate/Ready to move,"3 Bedroom Flat for sale in Oberoi Splendor, Andheri East",sale,residential,,mumbai,,," Oberoi Splendor, Andheri East",propertywala,"29,500,000",Oberoi Splendor,,Adarsh  Malhotra,,,,,,Broker,P922460411,,2016-07-15,,987 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Ghatkopar East,sale,residential,,mumbai,,, Ghatkopar East,propertywala,"12,000,000",,,Prakash D. Bellara,,,,,,Broker,P41715346,,2016-07-18,,650 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for sale in Mulund West,sale,residential,Semi Furnished,mumbai,,, Mulund West,propertywala,"27,500,000",,,Pravin  Ladkat,,,,,,Broker,P383747120,,2016-07-05,,1650 SqFeet,
,,,,,Apartment / Flat for sale in Malvani,sale,residential,,mumbai,,, Malvani,propertywala,"7,000,000",,,,,,,,,Owner,P59951436,,2016-07-18,,700 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Flat for sale in Mira Bhayandar Road area,sale,residential,,mumbai,,, Mira Bhayandar Road area,propertywala,"5,300,000",,,Virendra  Yadav,,,,,,Broker,P75345121,,2016-07-18,,,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for sale in Kalyan,sale,residential,Unfurnished,mumbai,,, Kalyan,propertywala,"1,035,000",,,Sunny sayyed hussain,,,,,,Builder,P49485190,,2016-07-18,,535 SqFeet,
,,,,Within 3 Years,"Land for sale in Raghuleela Mega Mall, Borivali East",sale,residential,,mumbai,,," Raghuleela Mega Mall, Borivali East",propertywala,"1,000,000",Raghuleela Mega Mall,,Neelam  kurup,,,,,,Builder,P81416775,,2016-07-15,,700 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Flat for sale in Poonam Sagar Complex,sale,residential,Unfurnished,mumbai,,, Poonam Sagar Complex,propertywala,"5,650,000",,,,,,,,,Owner,P93885251,,2016-07-17,,580 SqFeet,
,,,1bhk,Within 6 Months,1 Bedroom Apartment / Flat for sale in Malad East,sale,residential,Unfurnished,mumbai,,, Malad East,propertywala,"20,500,000",,,,,,,,,Owner,P75141280,,2016-07-14,,910 SqFeet,
,,,1bhk,Within 3 Months,1 Bedroom Apartment / Flat for sale in Bhayandar East,sale,residential,Semi Furnished,mumbai,,, Bhayandar East,propertywala,"2,400,000",,,,,,,,,Owner,P66534272,,2016-07-17,,325 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for sale in Goregaon East,sale,residential,Semi Furnished,mumbai,,, Goregaon East,propertywala,"15,800,000",,,,,,,,,Owner,P24529653,,2016-07-18,,104 SqMeters,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in Mazgaon,rent,residential,Furnished,mumbai,12 Months,, Mazgaon,propertywala,,,,Abbas Ali Arif,"50,000",,,,,Broker,P31312514,,2016-07-14,,900 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for sale in Kandivali West,sale,residential,,mumbai,,, Kandivali West,propertywala,"3,500,000",,,Darshit  Salunkhe,,,,,,Broker,P66534713,,2016-07-19,,305 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in C P Tank,rent,residential,Unfurnished,mumbai,11 Months,, C P Tank,propertywala,,,,Manish  Agarwal,"45,000",,,,,Broker,P248661312,,2016-07-12,,749 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in Charkop,rent,residential,Unfurnished,mumbai,12 Months,, Charkop,propertywala,,,,,"20,500",,,,,Owner,P50051301,,2016-07-12,,1050 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Paying Guest for rent in Andheri West,rent,residential,Furnished,mumbai,11 Months,, Andheri West,propertywala,,,,Ganeshh singh rautela,"6,000",,,,,Broker,P48985132,,2016-07-11,,550 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Vasai West,rent,residential,,mumbai,,, Vasai West,propertywala,,,,Vishal  pandey,"7,000",,,,,Broker,P81248205,,2016-07-12,,590 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Aarey Milk colony,rent,residential,,mumbai,,, Aarey Milk colony,propertywala,,,,Jiyakhan  Khan,"14,000",,,,,Broker,P75130741,,2016-07-09,,544 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in Khetwadi,rent,residential,,mumbai,,, Khetwadi,propertywala,,,,Sunder  Galani,"50,000",,,,,Broker,P60512516,,2016-07-13,,750 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for rent in Gandhi Market,rent,residential,,mumbai,,, Gandhi Market,propertywala,,,,,"65,000",,,,,Owner,P58451334,,2016-07-11,,1500 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for rent in Bhandup West,rent,residential,Furnished,mumbai,12 Months,, Bhandup West,propertywala,,,,Santram  Singh,"38,000",,,,,Broker,P32686949,,2016-07-13,,1250 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in LBS Marg,rent,residential,Semi Furnished,mumbai,11 Months,, LBS Marg,propertywala,,,,,"28,000",,,,,Owner,P37433513,,2016-07-12,,600 SqFeet,
,,,3bhk,Immediate/Ready to move,"3 Bedroom Flat for rent in Oberoi Exquisite, Goregaon East",rent,residential,Semi Furnished,mumbai,12 Months,," Oberoi Exquisite, Goregaon East",propertywala,,Oberoi Exquisite,,Manpreet  Singh,"76,000",,,,,Broker,P98055743,,2016-07-09,,1820 SqFeet,
,,,2bhk,Within 3 Months,"2 Bedroom Flat for rent in Mayfair Symphony Springs, Vikhroli West",rent,residential,Furnished,mumbai,36 Months,," Mayfair Symphony Springs, Vikhroli West",propertywala,,Mayfair Symphony Springs,,,"42,000",,,,,Owner,P62452979,,2016-07-08,,1090 SqFeet,
,,,4bhk,Immediate/Ready to move,4 Bedroom Apartment / Flat for rent in Kandivali East,rent,residential,Semi Furnished,mumbai,,, Kandivali East,propertywala,,,,Heenal  nandania,"70,000",,,,,Broker,P11279635,,2016-07-13,,1600 SqFeet,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for rent in Goregaon East,rent,residential,Unfurnished,mumbai,12 Months,, Goregaon East,propertywala,,,,Sunil  Gautam,"25,000",,,,,Broker,P110860591,,2016-07-13,,1680 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Bandra West,rent,residential,,mumbai,24 Months,, Bandra West,propertywala,,,,Sunny Pramod Kamble,"75,000",,,,,Broker,P316318112,,2016-07-13,,800 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Bandra West,rent,residential,Semi Furnished,mumbai,12 Months,, Bandra West,propertywala,,,,Sunny Pramod Kamble,"55,000",,,,,Broker,P111396001,,2016-07-13,,700 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Worli,rent,residential,,mumbai,,, Worli,propertywala,,,,Ghanshyam Atmaram Fatnani,"35,000",,,,,Broker,P924631931,,2016-07-14,,250 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Nagpada,rent,residential,Unfurnished,mumbai,24 Months,, Nagpada,propertywala,,,,Abbas Ali Arif,"32,000",,,,,Broker,P31348514,,2016-07-14,,400 SqFeet,
,,,2bhk,Immediate/Ready to move,2 Bedroom Apartment / Flat for rent in Khar West,rent,residential,,mumbai,,, Khar West,propertywala,,,,,"111,000",,,,,Owner,P92786351,,2016-07-10,,1050 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Andheri West,rent,residential,,mumbai,,, Andheri West,propertywala,,,,,"37,000",,,,,Owner,P81382755,,2016-07-12,,,
,,,3bhk,Immediate/Ready to move,3 Bedroom Apartment / Flat for rent in Kandivali East,rent,residential,Unfurnished,mumbai,24 Months,, Kandivali East,propertywala,,,,Heenal  nandania,"55,000",,,,,Broker,P75137545,,2016-07-12,,1700 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Apartment / Flat for rent in Bhayandar East,rent,residential,,mumbai,,, Bhayandar East,propertywala,,,,,"13,000",,,,,Owner,P81403635,,2016-07-13,,735 SqFeet,
,,,1bhk,Immediate/Ready to move,1 Bedroom Flat for rent in Mira Bhayandar Road area,rent,residential,,mumbai,,, Mira Bhayandar Road area,propertywala,,,,Imran  ansari,"8,500",,,,,Broker,P63432440,,2016-07-15,,645 SqFeet,
