status,city,property_type,management_by_landlord,data_id,areacode,sqft,listing_date,platform,locality,address,lat,txn_type,lng,building_name,desc
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,561,400703,200000,2016-06-28T09:36:54Z,purpleyo,Nerul,"# D-222/28, Nerul, Navi Mumbai",19.071535,LEASE/SALE,73.028595,Asian Infotech Park,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,3130,400614,10250,2016-05-18T05:55:44Z,purpleyo,CBD Belapur,"Gopinath Panda Patil Marg, Sector 15, CBD Belapur, Navi Mumbai",19.006706,LEASE,73.03284,Progressive Sea Lounge,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,459,400072,72400,2016-02-22T10:13:15Z,purpleyo,Powai,"Chandivali Farm Road, Powai, Mumbai",19.113089,SALE,72.89796,Nahar Business Center,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2153,400604,91300,2016-06-14T10:36:20Z,purpleyo,Wagle Industrail Area,"# A-112, Road Number 22, Wagle Industrial Area, Mumbai",19.194416,LEASE,72.95021,Coral Square,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,761,400059,300000,2016-05-18T09:24:49Z,purpleyo,Andheri East,"# 1498-A-2, M V Road, Marol, Andheri East, Mumbai",19.102627,LEASE,72.879745,The Qube,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3162,400050,49400,2016-06-07T07:08:27Z,purpleyo,Bandra West,"# 891, Road Number 24, Bandra West, Mumbai",19.0598,LEASE,72.83251,891 Notan Classic,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2565,400030,433580,2016-06-06T06:54:20Z,purpleyo,Worli ,"Pandurang Bhudkar Marg, Lower Parel, Worli, Mumbai",19.007446,LEASE,72.82486,Century Greenspan,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,NO,2335,400614,11200,2016-04-12T07:30:21Z,purpleyo,CBD Belapur,"# 52, Palm Beach Road, Sector 15, CBD Belapur, Navi Mumbai",19.00994,LEASE,73.032875,Arneja Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3128,400051,72720,2016-05-31T13:12:19Z,purpleyo,Bandra East,"Bandra Kurla Complex Road, Bandra East, Mumbai",19.05904,LEASE,72.85399,Vaibhav Chambers,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3195,400069,570700,2016-05-27T09:48:13Z,purpleyo,Andheri East,"Andheri - Kurla Road, Chakala, Andheri East, Mumbai",19.116642,LEASE,72.857185,The Summit Business Bay,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,981,400072,456000,2016-06-02T12:42:34Z,purpleyo,Sakinaka,"Mathuradas Vassanji Road, Sakinaka, Mumbai",19.103285,LEASE,72.8847,Raiaskaran Tech Park - Tower 2,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,829,400072,1440000,2016-06-23T10:17:05Z,purpleyo,Andheri East,"Chandivali Farm Road, Chandivali, Andheri East, Mumbai",19.113766,SALE,72.89279,Kanakia Boomerang,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,2987,400012,9000,2016-06-07T07:21:24Z,purpleyo,Bhoiwada,"Kalyan Station Road, Surganga Society, Manik Colony, Bhoiwada, Mumbai",19.004889,LEASE,72.84563,Krishna Complex,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,1811,400098,14000,2016-02-15T07:00:54Z,purpleyo,Kalina,"CST Road, Vidya Nagari, Kalina, Santacruz East, Mumbai",19.073803,LEASE,72.860916,Emgeen Chambers,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3091,400058,10500,2016-06-29T07:34:27Z,purpleyo,Andheri West,"# 37, Ambica Saw Mill Compound,  Bhardawadi Lane, Andheri West, Mumbai",19.126026,LEASE,72.84677,Shabnam Complex,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,18,400021,415000,2016-06-28T07:33:11Z,purpleyo,Nariman Point,"Barrister Rajni Patel Marg, Nariman Point, Mumbai",18.927887,LEASE,72.82205,Express Towers,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3086,400059,125000,2016-06-30T12:52:58Z,purpleyo,Andheri East,"# 773, Makwana Road, Marol Naka, Andheri East, Mumbai",19.109854,LEASE/SALE,72.881355,Antariksh Thakur House,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,2381,400067,9500,2016-05-23T12:10:56Z,purpleyo,Kandivali West,"Swami Vivekanand Road, Jethava Nagar, Kandivali West, Mumbai",19.204838,SALE,72.84959,,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3112,400059,84098,2016-05-25T12:38:02Z,purpleyo,Andheri East,"Lok Bharati Complex, Marol Maroshi Road, Andheri East, Mumbai",19.113659,LEASE,72.88063,AFL House,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3258,400063,61500,2016-05-24T13:25:40Z,purpleyo,Goregaon East,"Station Road,Goregaon East, Jay Prakash Nagar, Goregaon, Mumbai",19.187298,LEASE,72.84989,Accord Classic,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2156,400615,75000,2016-05-20T12:03:44Z,purpleyo,Thane West,"Rosa Vista, Ghod Bundef Road, Thane West, Mumbai",19.255781,LEASE,72.97184,Rosa Vista,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,606,400614,240000,2016-05-18T09:18:18Z,purpleyo,CBD Belapur,"# 89 & 90, Sector 15, CBD Belapur, Navi Mumbai",19.010365,LEASE/SALE,73.03749,Mahaavir Icon,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3120,400053,108000,2016-06-27T13:09:36Z,purpleyo,Andheri West,"New Link Road, Andheri West, Mumbai",19.139889,SALE,72.83493,Crescent Royale,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3274,400059,42000,2016-06-07T06:42:18Z,purpleyo,Andheri West,"Veera Desai Industrial Estate, Andheri West, Mumbai",19.140844,LEASE,72.83338,Morya Landmark 1,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3197,400047,30800,2016-05-19T12:37:48Z,purpleyo,Andheri West,"# 2, New Link Road, Industrial Area, Andheri West, Mumbai",19.135502,LEASE,72.832306,Kotia Nirman,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1058,400063,1430000,2016-06-28T10:56:19Z,purpleyo,Goregaon East,"Ram Mandir Lane, Jai Coach Junction, Goregaon East, Mumbai",19.145,LEASE/SALE,72.85331,Lotus Corporate Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3081,400071,35200,2016-06-29T12:18:38Z,purpleyo,Chembur,"Sindhi Society, Chembur East, Chembur, Mumbai",19.053816,LEASE,72.89025,Eastern Court,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3087,400058,125000,2016-06-30T12:53:24Z,purpleyo,Andheri East,"# 777, Makwana Road, Marol Naka, Andheri East, Mumbai",19.109625,LEASE/SALE,72.88182,Jai Antariksh,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3146,400071,25000,2016-07-01T10:45:50Z,purpleyo,Chembur,"# 1 & 2, Chembur Station Road, Chembur, Mumbai",19.063793,SALE,72.897575,The Central,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,784,400005,50000,2016-05-26T07:16:44Z,purpleyo,Cuffe Parade,"The Arcade, Cuffe Parade, Mumbai",18.914186,LEASE,72.8182,World Trade Centre - The Arcade,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1112,400021,215000,2016-06-20T12:25:41Z,purpleyo,Nariman Point,"Jamnalal Bajaj Road, Nariman Point, Mumbai",18.924326,LEASE,72.82265,Maker Chamber V,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,871,400051,212000,2016-05-11T07:14:18Z,purpleyo,Bandra Kurla Complex,"# C-53, G Block, Bandra Kurla Complex, Bandra East, Mumbai",19.067429,LEASE,72.86978,TCG Financial Center,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,3125,400705,80000,2016-06-28T10:57:27Z,purpleyo,Sanpada,"Sunshine CHS, Sector 30A, Sanpada, Navi Mumbai",19.06649,LEASE,73.00828,G Square Business Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2724,400013,508074,2016-06-01T13:13:36Z,purpleyo,Lower Parel,"Senapati Bapat Marg, Babasaheb Ambedkar Nagar, Lower Parel, Mumbai",19.00995,LEASE,72.83502,Indiabulls Finance Centre - Tower 1,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,698,400053,207000,2016-06-23T09:36:05Z,purpleyo,Andheri East,"Andheri Kurla Road, Mota Nagar, Andheri West, Mumbai",19.114815,LEASE,72.857376,Chintamani Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3156,400025,217500,2016-05-17T13:11:46Z,purpleyo,Prabhadevi,"# 1091, Sea Breeze, Appasaheb Marathe Marg, Prabhadevi, Mumbai",19.012783,LEASE,72.82789,Sea Breeze,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3192,400059,26250,2016-05-19T10:26:39Z,purpleyo,Andheri East,"Andheri Kurla Road, Andheri East, Mumbai",19.110485,LEASE,72.87417,Shree Amba Shanti Chambers,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,3136,400071,127062,2016-05-16T10:20:17Z,purpleyo,Chembur,"Postal Colony Road, Postal Colony, Chembur, Mumbai",19.060335,SALE,72.89612,Signature Business Park,
UNDER CONSTRUCTION,Navi Mumbai,OFFICE AND RETAIL,YES,3250,410206,27000,2016-05-24T12:59:14Z,purpleyo,Panvel,"MCCH Society, Vasudev Balwant Phadke Road, New Panvel, Navi Mumbai",18.988346,LEASE,73.11462,Mahendra Yug Business Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2713,400013,570000,2016-06-01T13:16:41Z,purpleyo,Lower Parel,"# 841, Senapati Bapat Marg, Lower Parel, Mumbai",19.006783,LEASE,72.83223,One Indiabulls Centre - Tower 1,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO CAN BE PROVIDED,2493,400030,38000,2016-06-03T12:37:44Z,purpleyo,Worli ,"Dr Annie Besant Road, Municipal Colony, Worli Shivaji Nagar, Worli, Mumbai",19.012136,LEASE,72.82144,Vaswani Chambers Wing B,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2920,400079,78000,2016-06-20T09:51:49Z,purpleyo,Vikhroli West,"Hiranandani Road, Vikhroli West, Mumbai",19.110859,SALE,72.91753,Kailas Corporate Lounge,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3446,400013,52000,2016-06-21T10:04:04Z,purpleyo,Lower Parel,"Dr SS Rao Road, Parel, Mumbai",18.996876,LEASE,72.84034,Citi Tower,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2424,400101,31500,2016-05-27T06:01:11Z,purpleyo,Kandivali East,"Chakravarti Ashok Road, Govind Dalvi Nagar, Kandivali East, Mumbai",19.201635,LEASE,72.85632,Thakur House  Block - B,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,569,400078,262500,2016-06-24T09:33:25Z,purpleyo,Kanjurmarg West,"LBS Marg, Kanjurmarg West, Mumbai",19.12945,LEASE/SALE,72.92647,Damji Shamji Business Galleria,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3256,400086,99000,2016-05-24T13:20:20Z,purpleyo,Ghatkopar West,"Kirol Road, Khalai Village, Vidyavihar Society, Ghatkopar West, Mumbai",19.081446,SALE,72.89298,Skyline Wealthspace,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,696,400063,60000,2016-06-23T09:34:04Z,purpleyo,Goregaon East,"# 201, Vishveshwar Nagar, Goregaon, Mumbai",19.170841,LEASE,72.85857,Chintamani Avenue,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,1224,400053,858000,2016-05-27T11:15:04Z,purpleyo,Andheri East,"Prof NS Phadke Marg, Vijay Nagar, Andheri East, Mumbai",19.114754,SALE,72.84995,Hubtown Solaris,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3165,400058,71800,2016-05-17T12:30:31Z,purpleyo,Andheri West,"Barfiwala Road, Andheri West, Mumbai",19.116096,LEASE,72.8419,Peninsula Heights,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2354,400064,20000,2016-03-11T07:43:38Z,purpleyo,Malad West,"Mindspace, Malad West, Mumbai",19.177383,SALE,72.83399,Aalind Fortuna Wing A,
UNDER CONSTRUCTION,Mumbai,OFFICE AND RETAIL,YES,2511,400059,104000,2016-03-18T19:52:17Z,purpleyo,Andheri West,"# 14, Shaha Industrial Estate Road, Industrial Area, Andheri West, Mumbai",19.13399,SALE,72.834206,Remi Commercio,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2798,400058,187200,2016-06-06T10:47:04Z,purpleyo,Andheri East,"Sahar Road, Andheri East, Mumbai",19.104185,LEASE,72.87199,Fulcrum Business Center - Wing A,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3135,400080,56000,2016-07-01T10:45:04Z,purpleyo,Mulund West,"Lal Bahadur Shastri Marg, Bhandup Industrial Area, Mulund West, Mumbai",19.162342,SALE,72.93807,Srishti Square,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3439,401107,50670,2016-06-21T13:32:30Z,purpleyo,Mira Bhayandar,"Kanakia Road, Mira Road East, Mira Bhayandar, Mumbai",19.296947,SALE,72.87566,Ostwal Garden,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2340,400098,22400,2016-06-03T12:12:12Z,purpleyo,Santacruz East,"CST Road, Kalina, Santacruz East, Mumbai",19.0726,SALE,72.8657,Pattathu Business Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3253,400072,150000,2016-05-24T13:04:03Z,purpleyo,Andheri East,"Ansa Industrial Estate, Chandivali, Andheri East, Mumbai",19.110516,LEASE,72.88998,Universal Business Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3150,400078,275000,2016-06-07T07:09:13Z,purpleyo,Bhandup West,"# 411, Lal Bahadur Shastri Marg, Bhandup West, Mumbai",19.159885,LEASE,72.93702,Filix Tower,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3218,400052,25000,2016-05-20T13:27:32Z,purpleyo,Khar West,"# 369, Linking Road, Khar West, Mumbai",19.070894,LEASE,72.83376,,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3092,400058,44000,2016-05-11T13:13:15Z,purpleyo,Andheri East,"# 61, Road Number 13, Marol,  MIDC Industry Estate, Andheri East, Mumbai",19.12107,LEASE,72.87225,Brillanto House,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,695,400059,150000,2016-06-23T09:33:08Z,purpleyo,Andheri East,"Marol Maroshi Road, Andheri East, Mumbai",19.115307,LEASE,72.88031,KP Aurum,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2524,400098,52500,2016-06-06T13:04:21Z,purpleyo,Santacruz East,"Windsor Lane, MMRDA Area, Kalina, Santacruz East, Mumbai",19.071056,LEASE,72.86457,Dani Corporate Park,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,3104,400059,36750,2016-06-29T12:47:42Z,purpleyo,Andheri East,"Makwana Road, Marol Naka, Andheri East, Mumbai",19.112043,LEASE,72.88234,Kushwah Chambers,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2470,400051,180000,2016-06-07T13:00:53Z,purpleyo,Bandra Kurla Complex,"# C-31, G Block, Bandra Kurla Complex, Bandra East, Mumbai",19.060583,LEASE,72.86275,Naman Centre,
NEARING COMPLETION,Mumbai,OFFICE,YES,3134,400080,19200,2016-06-07T07:10:24Z,purpleyo,Mulund West,"Devidayal Marg, Mulund, Mulund West, Mumbai",19.17611,SALE,72.95137,Balaji Accolade,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,529,400057,90000,2016-02-01T10:24:08Z,purpleyo,Vile Parle,"# 37-40, Shubhash Road, Vile Parle (East), Mumbai",19.107101,LEASE,72.85162,Sunteck Centre,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2727,400013,802489,2016-06-01T13:13:16Z,purpleyo,Lower Parel,"Senapati Bapat Marg, Babasaheb Ambedkar Nagar, Lower Parel, Mumbai",19.010073,LEASE,72.835236,Indiabulls Finance Centre - Tower 2,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3139,400092,42000,2016-05-19T09:29:13Z,purpleyo,Borivali West,"Swami Vivekanand Road, Borivali West, Mumbai",19.252182,SALE,72.8633,Orchid Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3124,400030,75712,2016-05-13T13:22:27Z,purpleyo,Prabhadevi,"# 502, SV Savarkar Marg, Prabhadevi, Mumbai",19.013838,LEASE,72.82456,Bengal Chemicals Bhavan,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2351,400053,104940,2016-03-11T07:16:56Z,purpleyo,Andheri East,"Andheri Kurla Road, Andheri East, Mumbai",19.111841,LEASE,72.87006,Trade Star,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3093,400053,6000,2016-06-29T07:04:17Z,purpleyo,Andheri West,"JP Road, Azad Nagar, Andheri West, Mumbai",19.128363,SALE,72.83189,Averson,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2168,400701,234000,2016-03-04T12:31:45Z,purpleyo,Ghansoli,"MIDC, Ghansoli, Navi Mumbai",19.114435,LEASE,73.01461,Technocity Premises Block A,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3069,400013,79800,2016-06-29T11:33:23Z,purpleyo,Lower Parel,"Senapati Bapat Marg, Railway Colony, Lower Parel West, Lower Parel, Mumbai",19.003185,LEASE,72.830315,Sun Paradise Business Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE,YES,2169,400701,100000,2016-03-04T12:30:39Z,purpleyo,Mahape,"# X-4/5, TTC Industrial Area, Mahape, MIDC, Navi Mumbai, Mumbai",19.114017,LEASE,73.01239,,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE AND RETAIL,YES,3163,410206,48000,2016-06-07T07:07:57Z,purpleyo,Panvel,"# 1-2, Sector 9E, Kalamboli, Panvel, Navi Mumbai",19.039104,SALE,73.1025,Parth Solitaire,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3155,400098,64000,2016-06-06T13:16:47Z,purpleyo,Santacruz East,"# 158, CST Road, Kalina, Santacruz East, Mumbai",19.071407,LEASE,72.86522,Sheil Estate,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,461,400064,100000,2016-05-11T12:34:21Z,purpleyo,Malad West,"Ramachandran Lane, Navy Colony, Kanchpada, Malad West, Mumbai",19.189758,LEASE/SALE,72.84023,Neo Corporate Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3450,400053,220000,2016-06-21T10:05:32Z,purpleyo,Andheri East,"Andheri - Kurla Road, Bhim Nagar, Andheri East, Mumbai",19.112595,LEASE,72.86869,Sahar Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3177,400050,31500,2016-06-07T07:06:21Z,purpleyo,Bandra West,"# 183, Waterfield Road, Bandra West, Mumbai",19.062626,LEASE,72.834366,Sagar Fortune,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,3068,400058,22000,2016-06-23T12:31:14Z,purpleyo,Andheri West,"# 203/204, Andheri Subway, Fish Market Area, Navneeth Colony, Andheri West, Mumbai",19.124422,LEASE,72.846565,West 58,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,944,400708,300000,2016-01-29T11:10:22Z,purpleyo,Dighe,"Thane Belapur Road, MIDC, Dighe, Navi Mumbai",19.169136,LEASE,73.00035,Liberty Tower,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,NO,3176,400050,5100,2016-05-18T12:04:12Z,purpleyo,Bandra West,"Turner Road, Bandra West, Mumbai",19.059292,LEASE,72.832565,Turner Heights,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,951,400070,460000,2016-01-20T09:12:09Z,purpleyo,Kurla West,"LBS Marg, Kurla West, Mumbai",19.085436,LEASE/SALE,72.888794,Phoenix Paragon Plaza,
COMPLETED AND OPERATIONAL,Mumbai,OFFICE AND RETAIL,YES,2806,400058,200000,2016-06-08T07:03:22Z,purpleyo,Andheri East,"Sahar Road, Andheri East, Mumbai",19.104273,LEASE,72.87201,Fulcrum Business Center - Wing B,
COMPLETED AND OPERATIONAL,Navi Mumbai,OFFICE,YES,945,400708,225250,2016-01-29T11:07:49Z,purpleyo,Airoli,"Gut 31, Airoli, Thane Belapur Road, MIDC, Navi Mumbai",19.169748,LEASE,72.9997,Reliable Plaza,
