possession,city,property_type,updated_date,management_by_landlord,data_id,areacode,sqft,listing_date,status,platform,config_type,carpet_area,locality,address,lat,txn_type,lng,desc,selling_price,building_name
0,Mumbai,Apartment,07/04/2016 23:59:50,,6596953,,0,07/05/2016 05:29:50,Not Launched,tigerprop,1BHK,0,Thane West,"Ghodbunder Road, Thane West, Mumbai",19.11169052,sale,72.92162323,,0,Pre Launch Thane
0,Mumbai,Apartment,07/04/2016 23:59:50,,6596954,,0,07/05/2016 05:29:50,Not Launched,tigerprop,2BHK,0,Thane West,"Ghodbunder Road, Thane West, Mumbai",19.11169052,sale,72.92162323,,0,Pre Launch Thane
0,Mumbai,Apartment,07/04/2016 23:59:50,,6596955,,0,07/05/2016 05:29:50,Not Launched,tigerprop,3BHK,0,Thane West,"Ghodbunder Road, Thane West, Mumbai",19.11169052,sale,72.92162323,,0,Pre Launch Thane
06/29/2018 18:30:00,Mumbai,Apartment,07/07/2016 01:40:42,,6601538,,0,07/07/2016 07:10:42,Not Launched,tigerprop,2BHK,700,Andheri West,"Versova, Near Andheri West, Mumbai",19.11169052,sale,72.92162323,,0,Versova Pre Launch
06/29/2018 18:30:00,Mumbai,Apartment,07/07/2016 01:40:42,,6601537,,0,07/07/2016 07:10:42,Not Launched,tigerprop,2BHK,620,Andheri West,"Versova, Near Andheri West, Mumbai",19.11169052,sale,72.92162323,,0,Versova Pre Launch
0,Mumbai,Apartment,07/08/2016 23:51:07,,6606075,,434,07/09/2016 05:21:07,Not Launched,tigerprop,1BHK,271,Thane West,"Ghodbunder Road, Brahmand, Near Thane West, Mumbai",19.11169052,sale,72.92162323,,0,Desire
0,Mumbai,Apartment,07/08/2016 23:51:07,,6606076,,452,07/09/2016 05:21:07,Not Launched,tigerprop,1BHK,282,Thane West,"Ghodbunder Road, Brahmand, Near Thane West, Mumbai",19.11169052,sale,72.92162323,,0,Desire
0,Mumbai,Apartment,07/08/2016 23:51:07,,6606077,,818,07/09/2016 05:21:07,Not Launched,tigerprop,1BHK,511,Thane West,"Ghodbunder Road, Brahmand, Near Thane West, Mumbai",19.11169052,sale,72.92162323,,0,Desire
0,Mumbai,Apartment,07/08/2016 23:51:07,,6606078,,959,07/09/2016 05:21:07,Not Launched,tigerprop,2BHK,599,Thane West,"Ghodbunder Road, Brahmand, Near Thane West, Mumbai",19.11169052,sale,72.92162323,,0,Desire
0,Mumbai,Apartment,07/08/2016 23:51:07,,6606079,,1277,07/09/2016 05:21:07,Not Launched,tigerprop,2BHK,798,Thane West,"Ghodbunder Road, Brahmand, Near Thane West, Mumbai",19.11169052,sale,72.92162323,,0,Desire
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317314,,1257,10/12/2015 06:39:29,Pre Launch,tigerprop,2BHK,757,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,35321700.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317315,,1300,10/12/2015 06:39:29,Pre Launch,tigerprop,2BHK,783,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,36530000.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317316,,1436,10/12/2015 06:39:29,Pre Launch,tigerprop,2BHK,865,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,40351600.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317317,,1657,10/12/2015 06:39:29,Pre Launch,tigerprop,3BHK,998,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,46561700.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317318,,1768,10/12/2015 06:39:29,Pre Launch,tigerprop,3BHK,1065,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,49680800.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317320,,1865,10/12/2015 06:39:29,Pre Launch,tigerprop,3BHK,1123,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,52406500.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317319,,1954,10/12/2015 06:39:29,Pre Launch,tigerprop,3BHK,1177,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,54907400.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317321,,1958,10/12/2015 06:39:29,Pre Launch,tigerprop,3BHK,1179,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,55019800.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317322,,2129,10/12/2015 06:39:29,Pre Launch,tigerprop,3BHK,1282,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,59824900.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317323,,2142,10/12/2015 06:39:29,Pre Launch,tigerprop,3BHK,1290,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,60190200.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317324,,2306,10/12/2015 06:39:29,Pre Launch,tigerprop,3BHK,1389,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,64798600.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317325,,2660,10/12/2015 06:39:30,Pre Launch,tigerprop,4BHK,1602,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,74746000.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5317326,,3372,10/12/2015 06:39:30,Pre Launch,tigerprop,4BHK,2031,Bandra East,"Off BKC Road, Near MIG Cricket Club, Bandra East, Mumbai",19.0533371,sale,72.84757233,,94753200.0,Project Bandra
11/30/2019 18:30:00,Mumbai,Apartment,06/15/2016 03:25:38,,5058610,,1395,11/13/2013 18:07:44,Under Construction,tigerprop,2BHK,0,Wadala,"Bhakti Park, Near I Max Dome Theatre, Wadala (East), Mumbai",19.02914047,sale,72.87941742,,26993250.0,Treon
11/30/2019 18:30:00,Mumbai,Apartment,06/15/2016 03:25:38,,5058611,,2340,11/13/2013 18:07:44,Under Construction,tigerprop,3BHK,0,Wadala,"Bhakti Park, Near I Max Dome Theatre, Wadala (East), Mumbai",19.02914047,sale,72.87941742,,45279000.0,Treon
11/30/2019 18:30:00,Mumbai,Apartment,06/15/2016 03:25:38,,5058612,,3285,11/13/2013 18:07:44,Under Construction,tigerprop,4BHK,0,Wadala,"Bhakti Park, Near I Max Dome Theatre, Wadala (East), Mumbai",19.02914047,sale,72.87941742,,63564750.0,Treon
11/30/2016 18:30:00,Mumbai,Apartment,05/18/2016 01:03:39,,5056887,,1200,11/13/2013 18:07:44,Under Construction,tigerprop,2BHK,0,Ghansoli,"Plot No. 5, Sector-11, Ghansoli, Navi Mumbai",19.11955833,sale,72.99305725,,12120000.0,Atlantis
11/30/2016 18:30:00,Mumbai,Apartment,05/18/2016 01:04:55,,5056888,,1500,11/13/2013 18:07:44,Under Construction,tigerprop,3BHK,0,Ghansoli,"Plot No. 5, Sector-11, Ghansoli, Navi Mumbai",19.11955833,sale,72.99305725,,15150000.0,Atlantis
11/30/2016 18:30:00,Mumbai,Apartment,05/12/2016 01:32:35,,5076002,,1650,11/13/2013 18:07:44,Under Construction,tigerprop,3BHK,0,Ghansoli,"Plot No. 5, Sector-11, Ghansoli, Navi Mumbai",19.11955833,sale,72.99305725,,16665000.0,Atlantis
09/30/2018 18:30:00,Mumbai,Apartment,03/24/2016 01:44:01,,5990962,,908,03/24/2016 06:37:18,Under Construction,tigerprop,2BHK,550,Goregaon West,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",19.1522274,sale,72.84477997,,12712000.0,Avenue 2
09/30/2018 18:30:00,Mumbai,Apartment,03/24/2016 01:44:01,,5162656,,947,11/21/2013 11:30:20,Under Construction,tigerprop,2BHK,574,Goregaon West,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",19.1522274,sale,72.84477997,,13258000.0,Avenue 2
09/30/2018 18:30:00,Mumbai,Apartment,03/24/2016 01:44:01,,5162657,,977,11/21/2013 11:30:20,Under Construction,tigerprop,2BHK,592,Goregaon West,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",19.1522274,sale,72.84477997,,13678000.0,Avenue 2
09/30/2018 18:30:00,Mumbai,Apartment,03/24/2016 01:44:01,,5990963,,1088,03/24/2016 06:37:18,Under Construction,tigerprop,2BHK,659,Goregaon West,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",19.1522274,sale,72.84477997,,15232000.0,Avenue 2
09/30/2018 18:30:00,Mumbai,Apartment,03/24/2016 01:44:01,,5252745,,1098,12/19/2014 09:40:19,Under Construction,tigerprop,2BHK,665,Goregaon West,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",19.1522274,sale,72.84477997,,15372000.0,Avenue 2
09/30/2018 18:30:00,Mumbai,Apartment,03/24/2016 01:44:01,,5990964,,1405,03/24/2016 06:37:18,Under Construction,tigerprop,3BHK,851,Goregaon West,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",19.1522274,sale,72.84477997,,19670000.0,Avenue 2
09/30/2018 18:30:00,Mumbai,Apartment,03/24/2016 01:44:01,,5162658,,1411,11/21/2013 11:30:20,Under Construction,tigerprop,3BHK,855,Goregaon West,"Nahar Singh Estate, Ram Mandir Road, Off SV Road, Goregaon West, Mumbai",19.1522274,sale,72.84477997,,19754000.0,Avenue 2
11/30/2019 18:30:00,Mumbai,Apartment,06/11/2016 00:59:30,,6175766,,1030,05/04/2016 11:57:04,Pre Launch,tigerprop,2BHK,0,Kandivali East,"Kandivali East, Mumbai",19.20567513,sale,72.87372589,,12617500.0,Epsilon
11/30/2019 18:30:00,Mumbai,Apartment,06/11/2016 00:59:30,,5518681,,1330,12/31/2015 12:38:07,Pre Launch,tigerprop,2BHK,0,Kandivali East,"Kandivali East, Mumbai",19.20567513,sale,72.87372589,,16292500.0,Epsilon
11/30/2019 18:30:00,Mumbai,Apartment,06/11/2016 00:59:30,,6545504,,1697,06/11/2016 06:29:30,Pre Launch,tigerprop,3BHK,0,Kandivali East,"Kandivali East, Mumbai",19.20567513,sale,72.87372589,,20788250.0,Epsilon
11/30/2019 18:30:00,Mumbai,Apartment,06/11/2016 00:59:30,,5518682,,1705,12/31/2015 12:38:07,Pre Launch,tigerprop,3BHK,0,Kandivali East,"Kandivali East, Mumbai",19.20567513,sale,72.87372589,,20886250.0,Epsilon
11/30/2017 18:30:00,Mumbai,Apartment,04/18/2016 04:38:30,,6131424,,735,04/18/2016 10:08:30,Under Construction,tigerprop,1BHK,459,Kandivali East,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",19.20110893,sale,72.87722778,,9334500.0,White City
11/30/2017 18:30:00,Mumbai,Apartment,04/18/2016 04:38:30,,5026266,,745,11/13/2013 18:07:44,Under Construction,tigerprop,1BHK,465,Kandivali East,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",19.20110893,sale,72.87722778,,9461500.0,White City
11/30/2017 18:30:00,Mumbai,Apartment,04/18/2016 04:38:30,,5026267,,980,11/13/2013 18:07:44,Under Construction,tigerprop,2BHK,611,Kandivali East,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",19.20110893,sale,72.87722778,,12446000.0,White City
11/30/2017 18:30:00,Mumbai,Apartment,04/18/2016 04:38:30,,5061530,,1335,11/13/2013 18:07:44,Under Construction,tigerprop,2BHK,833,Kandivali East,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",19.20110893,sale,72.87722778,,16954500.0,White City
11/30/2017 18:30:00,Mumbai,Apartment,04/18/2016 04:38:30,,5084671,,2015,11/13/2013 18:07:44,Under Construction,tigerprop,3BHK,1260,Kandivali East,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",19.20110893,sale,72.87722778,,25590500.0,White City
11/30/2017 18:30:00,Mumbai,Apartment,04/18/2016 04:38:30,,5321943,,2019,11/02/2015 12:11:59,Under Construction,tigerprop,3BHK,1265,Kandivali East,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",19.20110893,sale,72.87722778,,25641300.0,White City
11/30/2017 18:30:00,Mumbai,Apartment,04/18/2016 04:38:30,,5090055,,2090,11/13/2013 18:07:44,Under Construction,tigerprop,3BHK,1265,Kandivali East,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",19.20110893,sale,72.87722778,,26543000.0,White City
11/30/2017 18:30:00,Mumbai,Apartment,04/18/2016 04:38:30,,6131425,,2100,04/18/2016 10:08:30,Under Construction,tigerprop,3BHK,1307,Kandivali East,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",19.20110893,sale,72.87722778,,26670000.0,White City
11/30/2017 18:30:00,Mumbai,Apartment,04/18/2016 04:38:30,,5090056,,2685,11/13/2013 18:07:44,Under Construction,tigerprop,4BHK,1679,Kandivali East,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",19.20110893,sale,72.87722778,,34099500.0,White City
11/30/2017 18:30:00,Mumbai,Apartment,04/18/2016 04:38:30,,6131426,,2700,04/18/2016 10:08:30,Under Construction,tigerprop,4BHK,1679,Kandivali East,"Akurli Road, Lokhandwala Complex, Kandivali East, Mumbai",19.20110893,sale,72.87722778,,34290000.0,White City
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:44,,6113340,,850,04/12/2016 05:59:54,Under Construction,tigerprop,2BHK,513,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,9987500.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,6602283,,1100,07/07/2016 10:42:45,Under Construction,tigerprop,2BHK,665,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,13475000.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,5252491,,1115,12/17/2014 11:12:37,Under Construction,tigerprop,2BHK,665,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,13658750.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:44,,5252490,,1225,12/17/2014 11:12:37,Under Construction,tigerprop,2BHK,740,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,15006250.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,5283612,,1250,06/01/2015 09:24:16,Under Construction,tigerprop,2BHK,765,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,15312500.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,6602284,,1265,07/07/2016 10:42:45,Under Construction,tigerprop,2BHK,765,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,15496250.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,6554936,,1275,06/15/2016 13:07:03,Under Construction,tigerprop,2BHK,770,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,15618750.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,5283613,,1675,06/01/2015 09:24:16,Under Construction,tigerprop,3BHK,998,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,20518750.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,5252495,,1675,12/17/2014 11:12:37,Under Construction,tigerprop,3BHK,992,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,20518750.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,5252494,,1750,12/17/2014 11:12:37,Under Construction,tigerprop,3BHK,1028,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,21437500.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,5283614,,1775,06/01/2015 09:24:16,Under Construction,tigerprop,3BHK,1035,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,21743750.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,5252492,,2025,12/17/2014 11:12:37,Under Construction,tigerprop,3BHK,1187,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,24806250.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,5283615,,2050,06/01/2015 09:24:16,Under Construction,tigerprop,3BHK,1193,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,25112500.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,5252497,,3250,12/17/2014 11:12:37,Under Construction,tigerprop,4BHK,1904,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,39812500.0,Bliss
10/31/2019 18:30:00,Mumbai,Apartment,07/07/2016 05:12:45,,5252499,,4000,12/17/2014 11:12:37,Under Construction,tigerprop,5BHK,2355,Kanjurmarg,"Crompton Greaves Compound, Kanjurmarg, Mumbai",19.13327599,sale,72.93379211,,49000000.0,Bliss
08/30/2010 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5072568,,1350,11/13/2013 18:07:44,Completed,tigerprop,2BHK,0,Mahalaxmi,"Mahalaxmi, Mumbai",18.9809742,sale,72.83106995,,0,Planet
08/30/2010 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5219041,,1454,06/30/2014 11:33:27,Completed,tigerprop,2BHK,0,Mahalaxmi,"Mahalaxmi, Mumbai",18.9809742,sale,72.83106995,,0,Planet
08/30/2010 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5072569,,1770,11/13/2013 18:07:44,Completed,tigerprop,3BHK,0,Mahalaxmi,"Mahalaxmi, Mumbai",18.9809742,sale,72.83106995,,0,Planet
08/30/2010 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5219042,,1900,06/30/2014 11:33:27,Completed,tigerprop,3BHK,0,Mahalaxmi,"Mahalaxmi, Mumbai",18.9809742,sale,72.83106995,,0,Planet
08/30/2010 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5219043,,3154,06/30/2014 11:33:27,Completed,tigerprop,4BHK,0,Mahalaxmi,"Mahalaxmi, Mumbai",18.9809742,sale,72.83106995,,0,Planet
08/30/2010 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5219044,,3475,06/30/2014 11:33:27,Completed,tigerprop,4BHK,0,Mahalaxmi,"Mahalaxmi, Mumbai",18.9809742,sale,72.83106995,,0,Planet
05/31/2012 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5320225,,2394,10/26/2015 11:29:07,Completed,tigerprop,3BHK,1709,Mahalaxmi,"N.M. Joshi Marg, Mahalaxmi, Mumbai",18.98719406,sale,72.82820129,,0,Bellissimo
05/31/2012 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5320226,,5292,10/26/2015 11:37:37,Completed,tigerprop,3BHK,3780,Mahalaxmi,"N.M. Joshi Marg, Mahalaxmi, Mumbai",18.98719406,sale,72.82820129,,0,Bellissimo
05/31/2012 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5001719,,2400,11/13/2013 18:07:44,Completed,tigerprop,4BHK,0,Mahalaxmi,"N.M. Joshi Marg, Mahalaxmi, Mumbai",18.98719406,sale,72.82820129,,0,Bellissimo
05/31/2012 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5001722,,3000,11/13/2013 18:07:44,Completed,tigerprop,4BHK,0,Mahalaxmi,"N.M. Joshi Marg, Mahalaxmi, Mumbai",18.98719406,sale,72.82820129,,0,Bellissimo
05/31/2012 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5066787,,3200,11/13/2013 18:07:44,Completed,tigerprop,4BHK,0,Mahalaxmi,"N.M. Joshi Marg, Mahalaxmi, Mumbai",18.98719406,sale,72.82820129,,0,Bellissimo
03/31/2012 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5001702,,2187,11/13/2013 18:07:44,Completed,tigerprop,3BHK,0,Dadar West,"Dadar West, Mumbai",19.01144028,sale,72.83297729,,0,Grandeur
03/31/2012 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5001703,,3150,11/13/2013 18:07:44,Completed,tigerprop,4BHK,0,Dadar West,"Dadar West, Mumbai",19.01144028,sale,72.83297729,,0,Grandeur
03/31/2011 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5265934,,1800,02/27/2015 12:32:45,Completed,tigerprop,3BHK,0,Matunga,"Matunga,  Mumbai",19.02339554,sale,72.85308075,,0,Gardenia
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5211776,,0,05/27/2014 04:47:01,Completed,tigerprop,3BHK,1185,Chembur,"7th Road, Sanduwadi, Opp. Sandu Brother, Chembur East, Mumbai",19.05358696,sale,72.89806366,,0,Aumkaar
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5272842,,0,04/04/2015 10:32:11,Completed,tigerprop,3BHK,1017,Chembur,"7th Road, Sanduwadi, Opp. Sandu Brother, Chembur East, Mumbai",19.05358696,sale,72.89806366,,0,Aumkaar
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5081776,,0,11/13/2013 18:07:44,Completed,tigerprop,3BHK,1140,Chembur,"7th Road, Sanduwadi, Opp. Sandu Brother, Chembur East, Mumbai",19.05358696,sale,72.89806366,,0,Aumkaar
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5211776,,0,05/27/2014 04:47:01,Completed,tigerprop,3BHK,1185,Chembur,"7th Road, Sanduwadi, Opp. Sandu Brother, Chembur East, Mumbai",19.05358696,sale,72.89806366,,0,Aumkaar
11/30/2015 18:30:00,Mumbai,Apartment,03/22/2016 09:21:27,,5272842,,0,04/04/2015 10:32:11,Completed,tigerprop,3BHK,1017,Chembur,"7th Road, Sanduwadi, Opp. Sandu Brother, Chembur East, Mumbai",19.05358696,sale,72.89806366,,0,Aumkaar
